farsi,english,pronunciation,level
تحلیل,analysis,tahlil,C1
تحلیل‌کردن,to analyze,tahlil kardan,C1
استدلال,reasoning; argument,estedlâl,C1
استدلال‌کردن,to reason; to argue logically,estedlâl kardan,C1
استنباط,inference,estenbât,C1
استنباط‌کردن,to infer,estenbât kardan,C1
برداشت,interpretation; inference,bardâsht,C1
تعبیر,interpretation; expression,ta'bir,C1
تفسیر,interpretation; commentary,tafsir,C1
تبیین,explanation; clarification,tabyin,C1
تشریح,detailed explanation,tashrih,C1
توضیح,explanation,tozih,C1
توجیه,justification; rationalization,towjih,C1
توجیه‌کردن,to justify,towjih kardan,C1
فرضیه,hypothesis,farziye,C1
نظریه,theory,nazariye,C1
چارچوب,framework,chârchub,C1
مفهوم,concept,mafhum,C1
مصداق,instance; example,mesdâq,C1
مقوله,category; topic,maqoleh,C1
رویکرد,approach; perspective,ruykard,C1
دیدگاه,viewpoint,didgâh,C1
چشم‌انداز,prospect; outlook,cheshm-andâz,C1
نگرش,attitude; perspective,negaresh,C1
بینش,insight,binesh,C1
ادراک,perception,edrâk,C1
شناخت,cognition; understanding,shenâkht,C1
آگاهی,awareness,âgâhi,C1
خودآگاهی,self-awareness,khodâgâhi,C1
درک,understanding,dark,C1
فهم,comprehension,fahm,C1
قضاوت,judgment,qezâvat,C1
داوری,judgment; evaluation,dâvari,C1
ارزیابی,evaluation,arzyâbi,C1
ارزیابی‌کردن,to evaluate,arzyâbi kardan,C1
سنجش,assessment,sanjesh,C1
محاسبه,calculation,mohâsebe,C1
برآورد,estimate,barâvard,C1
برآورد‌کردن,to estimate,barâvard kardan,C1
پیش‌بینی,prediction,pishbini,C1
پیش‌بینی‌کردن,to predict,pishbini kardan,C1
پیامد,consequence,payâmad,C1
عاقبت,outcome; consequence,âqebat,C1
نتیجه,outcome; result,natije,C1
رهیافت,approach; methodology,rahyâft,C1
فرایند,process,farâyand,C1
روند,trend; process,ravand,C1
تحول,transformation,tahavvol,C1
دگرگونی,change; transformation,dargarguni,C1
دگرگون‌کردن,to transform,dargargun kardan,C1
تغییر,change,taghyir,C1
دگرسانی,alteration,dargarsâni,C1
ثبات,stability,sabât,C1
پایداری,sustainability; stability,pâydâri,C1
تداوم,continuation,tadâvom,C1
استمرار,continuity,estemrâr,C1
وقفه,interruption,vaqfe,C1
اختلال,disruption,ekhtelâl,C1
انسجام,coherence; cohesion,ensijâm,C1
هماهنگی,coordination; harmony,hamâhangi,C1
ناهماهنگی,inconsistency,nâhamâhangi,C1
تضاد,contradiction; contrast,tazâd,C1
تناقض,contradiction,tanâqoz,C1
توافق,agreement,tavâfoq,C1
اجماع,consensus,ejmâ',C1
اختلاف,disagreement,ekhtelâf,C1
مناقشه,dispute,monâqeshe,C1
مجادله,argument; dispute,mojâdele,C1
بحث,discussion,bahs,C1
گفت‌وگو,dialogue,goft-o-gu,C1
مذاکره,negotiation,mozâkere,C1
چانه‌زنی,bargaining,châne-zani,C1
مصالحه,compromise; settlement,mosâlehe,C1
سازش,compromise,sâzesh,C1
تقابل,confrontation,taqâbol,C1
رویارویی,confrontation,ruyâruyi,C1
مواجهه,encounter; confrontation,movâjehe,C1
واکنش,reaction,vâkonesh,C1
کنش,action,konesh,C1
تعامل,interaction,ta'âmol,C1
همکاری,cooperation,hamkâri,C1
مشارکت,participation,moshârekat,C1
سهیم‌شدن,to participate,sahim shodan,C1
مداخله,intervention,modâkhele,C1
دخالت,interference,dekhâlat,C1
نفوذ,influence; penetration,nofuz,C1
اثرگذاری,influence,asargozâri,C1
تأثیر,influence; effect,tasir,C1
تأثیرگذار,influential,tasirgozâr,C1
تحت‌تأثیر,affected by,taht-e tasir,C1
استقلال,independence,esteqlâl,C1
وابستگی,dependence,vâbastegi,C1
وابسته,dependent,vâbaste,C1
خودمختاری,autonomy,khodmokhtâri,C1
اقتدار,authority; power,eqtedâr,C1
صلاحیت,competence; authority,salâhiyat,C1
شایستگی,competence,shâyestegi,C1
کارآمدی,efficiency;kârâmadi,C1
بهره‌وری,productivity,bahrevari,C1
کارایی,efficiency,kârâyi,C1
اثربخشی,effectiveness,asarbakhshi,C1
ظرفیت,capacity,zarfiyat,C1
قابلیت,capability,qâbeliyat,C1
توانمندی,capability,tavânmandi,C1
توان بالقوه,potential,tavân-e belqove,C1
محدودیت,limitation,mahdudiyat,C1
مانع,obstacle,mâne',C1
چالش,challenge,châlesh,C1
دشواری,difficulty,doshvâri,C1
پیچیدگی,complexity,pichidegi,C1
ابهام,ambiguity,ebhâm,C1
شفافیت,transparency,shafâfiyat,C1
وضوح,clarity,vozuh,C1
دقت,accuracy,deqqat,C1
صحت,correctness; validity,sehhat,C1
اعتبار,validity; credibility,etebâr,C1
قابلیت‌اعتماد,reliability,qâbeliyat-e etemâd,C1
اطمینان,confidence; certainty,etminân,C1
یقین,certainty,yaqin,C1
تردید,doubt,tardid,C1
احتمال,probability,ehtemâl,C1
امکان,possibility,emkân,C1
ضرورت,necessity,zarurat,C1
الزام,obligation; requirement,elzâm,C1
تعهد,commitment,ta'ahhod,C1
مسئولیت,responsibility,mas'uliyat,C1
پاسخگویی,accountability,pâsokhgui,C1
پاسخگو,accountable,pâsokhgu,C1
تعهد‌سپاری,delegation of responsibility,ta'ahhod-sepâri,C1
اختیار,authority; discretion,ekhtiyâr,C1
اختیار‌دادن,to authorize,ekhtiyâr dâdan,C1
تصمیم,decision,tasmim,C1
تصمیم‌گیری,decision-making,tasmim-giri,C1
قاطعیت,decisiveness,qâte'iyat,C1
تردید‌کردن,to hesitate,tardid kardan,C1
تأمل,reflection; deliberation,ta'ammol,C1
اندیشه,thought,andishe,C1
اندیشیدن,to contemplate,andishidan,C1
تفکر,thinking; reflection,tafakkor,C1
تفکر انتقادی,critical thinking,tafakkor-e enteqâdi,C1
خلاقیت,creativity,khallâqiyat,C1
نوآوری,innovation,nowâvari,C1
ابداع,invention; innovation,ebdâ',C1
ابداع‌کردن,to devise; invent,ebdâ' kardan,C1
ابتکار,initiative; ingenuity,ebtekâr,C1
ابتکارعمل,initiative,ebtekâr-e amal,C1
الهام,inspiration,elhâm,C1
الهام‌بخش,inspiring,elhâm-bakhsh,C1
انگیزه,motivation,angize,C1
برانگیختن,to motivate,barangikhtan,C1
ترغیب,encouragement; persuasion,targhib,C1
ترغیب‌کردن,to encourage,targhib kardan,C1
اقناع,persuasion,eqnâ',C1
اقناع‌کردن,to convince,eqnâ' kardan,C1
متقاعد,convinced,moteqâ'ed,C1
متقاعد‌کردن,to persuade,moteqâ'ed kardan,C1
اعتراض,objection; protest,e'terâz,C1
اعتراض‌کردن,to object,e'terâz kardan,C1
انتقاد,criticism,enteqâd,C1
انتقاد‌کردن,to criticize,enteqâd kardan,C1
نقد,critique; criticism,naqd,C1
نقد‌کردن,to critique,naqd kardan,C1
ستایش,praise,setâyesh,C1
تحسین,admiration,tahsin,C1
تحسین‌کردن,to admire,tahsin kardan,C1
سرزنش,reproach,sarzanes h,C1
سرزنش‌کردن,to reproach,sarzanesh kardan,C1
ملامت,blame,malâmat,C1
محکوم‌کردن,to condemn,mahkum kardan,C1
تأیید,approval; confirmation,ta'yid,C1
تأیید‌کردن,to approve,ta'yid kardan,C1
رد,rejection; refusal,radd,C1
رد‌کردن,to reject,radd kardan,C1
پذیرش,acceptance,pazira sh,C1
پذیرفتن,to accept,paziroftan,C1
امتناع,refusal,emtenâ',C1
